x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.11,2012-12-11 00:00:00,ON,2012,12,11,-23,,-32.3,,-13.7,,,M,,M,,M,,,0,,0,,0,,41,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.12,2012-12-12 00:00:00,ON,2012,12,12,-30.3,,-37.1,,-23.4,,,M,,M,,M,,,0,,0,,0,,48.3,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.13,2012-12-13 00:00:00,ON,2012,12,13,-22.1,,-26.2,,-18,,,M,,M,,M,,,0,,0,,0,,40.1,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.14,2012-12-14 00:00:00,ON,2012,12,14,-13,,-20.2,,-5.8,,,M,,M,,M,,,0,,0,,0,,31,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.15,2012-12-15 00:00:00,ON,2012,12,15,-5.1,,-7.7,,-2.5,,,M,,M,,M,,,0,,0,,0,,23.1,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.16,2012-12-16 00:00:00,ON,2012,12,16,-9.3,,-11.3,,-7.3,,,M,,M,,M,,,0,,0,,0,,27.3,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.17,2012-12-17 00:00:00,ON,2012,12,17,-13.5,,-15.7,,-11.2,,,M,,M,,M,,,0,,0,,0,,31.5,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.18,2012-12-18 00:00:00,ON,2012,12,18,-15.1,,-16.6,,-13.5,,,M,,M,,M,,,0,,0,,0,,33.1,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.19,2012-12-19 00:00:00,ON,2012,12,19,-16.8,,-20.2,,-13.4,,,M,,M,,M,,,0,,0,,0,,34.8,,,,,
-93.34444444444445,53.064166666666665,SANDY LAKE A,6017401,6017401.2012.12.20,2012-12-20 00:00:00,ON,2012,12,20,-17.4,,-20.2,,-14.5,,,M,,M,,M,,,0,,0,,0,,35.4,,,,,
