"station_name","x","y","year","month","mean_temp","max_temp","min_temp","total_precip","min_humidity","max_humidity"
"BARRIE-ORO",-79.55,44.4833333333333,2004,1,-13.9322580645161,-8.95483870967742,-18.8677419354839,3.11612903225806,40.5264116575592,89.0928961748634
"BARRIE-ORO",-79.55,44.4833333333333,2004,2,-7.73103448275862,-1.68965517241379,-13.7310344827586,1.32068965517241,41.4553734061931,89.2568306010929
"BARRIE-ORO",-79.55,44.4833333333333,2004,3,-0.974193548387097,3.65483870967742,-5.6,3.26451612903226,42.384335154827,89.4207650273224
"BARRIE-ORO",-79.55,44.4833333333333,2004,4,4.96,10.5933333333333,-0.713333333333333,1.31333333333333,43.3287795992714,89.5874316939891
"BARRIE-ORO",-79.55,44.4833333333333,2004,5,10.5483870967742,16.7193548387097,4.32258064516129,4.43870967741935,44.2732240437158,89.7540983606557
"BARRIE-ORO",-79.55,44.4833333333333,2004,6,14.6433333333333,21.5266666666667,7.71,1.67333333333333,45.2176684881603,89.9207650273224
"BARRIE-ORO",-79.55,44.4833333333333,2004,7,18.2064516129032,24.241935483871,12.1290322580645,2.38064516129032,46.1621129326047,90.0874316939891
"BARRIE-ORO",-79.55,44.4833333333333,2004,8,16.5548387096774,22.5709677419355,10.4806451612903,1.98064516129032,47.1220400728597,90.2568306010929
"BARRIE-ORO",-79.55,44.4833333333333,2004,9,15.5,22.7266666666667,8.23,1.14,48.0664845173042,90.4234972677596
"BARRIE-ORO",-79.55,44.4833333333333,2004,10,7.98064516129032,13.3612903225806,2.54193548387097,1.48387096774194,49.0109289617486,90.5901639344262
"BARRIE-ORO",-79.55,44.4833333333333,2004,11,2.17333333333333,6.99,-2.66333333333333,2.28666666666667,49.9553734061931,90.7568306010929
"BARRIE-ORO",-79.55,44.4833333333333,2004,12,-6.62258064516129,-1.59677419354839,-11.6129032258065,3.84516129032258,50.8998178506375,90.9234972677596
"BARRIE-ORO",-79.55,44.4833333333333,2005,1,-10.358064516129,-5.22903225806452,-15.4483870967742,2.18387096774194,51.8597449908925,91.0928961748634
"BARRIE-ORO",-79.55,44.4833333333333,2005,2,-8.24285714285714,-2.22142857142857,-14.2142857142857,1.92857142857143,52.7732240437158,91.2540983606557
"BARRIE-ORO",-79.55,44.4833333333333,2005,3,-5.67741935483871,0.364516129032258,-11.6903225806452,1.02258064516129,53.6867030965392,91.4153005464481
"BARRIE-ORO",-79.55,44.4833333333333,2005,4,5.48,11.6833333333333,-0.766666666666667,4.00333333333333,54.6311475409836,91.5819672131148
"BARRIE-ORO",-79.55,44.4833333333333,2005,5,9.6258064516129,16.9032258064516,2.3,0.87741935483871,55.575591985428,91.7486338797814
"BARRIE-ORO",-79.55,44.4833333333333,2005,6,19.3666666666667,25.7,12.9833333333333,4.12666666666667,56.5200364298725,91.9153005464481
"BARRIE-ORO",-79.55,44.4833333333333,2005,7,20.2967741935484,27.0741935483871,13.4774193548387,2.07096774193548,57.4644808743169,92.0819672131148
"BARRIE-ORO",-79.55,44.4833333333333,2005,8,19.2451612903226,26.2548387096774,12.1838709677419,1.56774193548387,58.424408014572,92.2513661202186
"BARRIE-ORO",-79.55,44.4833333333333,2005,9,16.0866666666667,23.5266666666667,8.58666666666667,2.5,59.3688524590164,92.4180327868852
"BARRIE-ORO",-79.55,44.4833333333333,2005,10,9.35806451612903,14.3161290322581,4.34193548387097,1.42903225806452,60.3132969034608,92.5846994535519
"BARRIE-ORO",-79.55,44.4833333333333,2005,11,2.33333333333333,7.16333333333333,-2.51666666666667,4.27666666666667,61.2577413479053,92.7513661202186
"BARRIE-ORO",-79.55,44.4833333333333,2005,12,-6.37741935483871,-2.59354838709677,-10.1258064516129,2.61935483870968,62.2021857923497,92.9180327868852
"BARRIE-ORO",-79.55,44.4833333333333,2006,1,-3.78709677419355,0.62258064516129,-8.1741935483871,2.7,63.1621129326047,93.0874316939891
"BARRIE-ORO",-79.55,44.4833333333333,2006,2,-8.62142857142857,-3.35714285714286,-13.8357142857143,3.61785714285714,64.075591985428,93.2486338797814
"BARRIE-ORO",-79.55,44.4833333333333,2006,3,-2.74516129032258,2.46451612903226,-7.95161290322581,2.30322580645161,64.9890710382514,93.4098360655738
"BARRIE-ORO",-79.55,44.4833333333333,2006,4,6.16666666666667,12.6,-0.31,2.74333333333333,65.9335154826958,93.5765027322404
"BARRIE-ORO",-79.55,44.4833333333333,2006,5,12.0548387096774,18.6483870967742,5.41290322580645,2.00967741935484,66.8779599271403,93.7431693989071
"BARRIE-ORO",-79.55,44.4833333333333,2006,6,16.61,22.8833333333333,10.2766666666667,3.52,67.8224043715847,93.9098360655738
"BARRIE-ORO",-79.55,44.4833333333333,2006,7,20.358064516129,26.6451612903226,14.0129032258065,2.75161290322581,68.7668488160291,94.0765027322404
"BARRIE-ORO",-79.55,44.4833333333333,2006,8,17.9548387096774,24.5451612903226,11.3096774193548,0.625806451612903,69.7267759562842,94.2459016393443
"BARRIE-ORO",-79.55,44.4833333333333,2006,9,13.0466666666667,18.2833333333333,7.76666666666667,3.52,70.6712204007286,94.4125683060109
"BARRIE-ORO",-79.55,44.4833333333333,2006,10,6.48387096774194,11.6322580645161,1.28387096774194,4.80645161290323,71.615664845173,94.5792349726776
"BARRIE-ORO",-79.55,44.4833333333333,2006,11,3.13666666666667,7.30333333333333,-1.05333333333333,3.8,72.5601092896175,94.7459016393443
"BARRIE-ORO",-79.55,44.4833333333333,2006,12,-1,2.66451612903226,-4.65483870967742,2.48387096774194,73.5045537340619,94.9125683060109
