"","Year","County","Acres seeded ","Acres harvested","Yield (bushels/ac)","Production ('000 bushels)","Production ('000 tonnes)"
"101",2006,"Haldimand-Norfolk","64165","62400","139","8673.60","220.32"
"102",2006,"Hamilton","20247","19700","130","2561","65.05"
"103",2006,"Lambton","75996","73900","161","11897.90","302.22"
"104",2006,"Middlesex","139010","135200","165","22308","566.65"
"105",2006,"Niagara","20564","20000","139","2780","70.62"
"106",2006,"Oxford","118501","115300","162","18678.60","474.46"
"107",2006,"Bruce","47229","45900","145","6655.50","169.06"
"108",2006,"Dufferin","9778","9500","139","1320.50","33.54"
"109",2006,"Grey","13982","13600","135","1836","46.64"
"110",2006,"Halton","13740","13400","123","1648.20","41.87"
"111",2006,"Huron","151188","147100","159","23388.90","594.11"
"112",2006,"Peel","10809","10500","117","1228.50","31.21"
"113",2006,"Perth","108765","105800","161","17033.80","432.68"
"114",2006,"Simcoe","44263","43100","128","5516.80","140.13"
"115",2006,"Waterloo","39276","38200","139","5309.80","134.88"
"116",2006,"Wellington","64858","63100","140","8834","224.40"
"117",2006,"Durham","52062","50600","132","6679.20","169.66"
"118",2006,"Haliburton","0","0","0","0","0"
"119",2006,"Hastings","0","11900","104","1237.60","31.44"
"120",2006,"Kawartha Lakes","12663","12300","128","1574.40","39.99"
"121",2006,"Muskoka","0","0","0","0","0"
"122",2006,"Northumberland","26796","26100","126","3288.60","83.53"
"123",2006,"Parry Sound","0","0","0","0","0"
"124",2006,"Peterborough","7129","6900","118","814.20","20.68"
"125",2006,"Prince Edward","11788","11500","129","1483.50","37.68"
"126",2006,"York","19991","19400","119","2308.60","58.64"
"127",2006,"Frontenac","3300","3200","135","432","10.97"
"128",2006,"Lanark","4115","4000","125","500","12.70"
"129",2006,"Leeds and Grenville","16423","16000","133","2128","54.05"
"130",2006,"Lennox and Addington","5800","5600","112","627.20","15.93"
"131",2006,"Ottawa","37756","36700","151","5541.70","140.77"
"132",2006,"Prescott and Russell","42453","41300","153","6318.90","160.51"
