Year,County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
2020,Waterloo,36100,35949,50.07,1800,48.99
2020,Wellington,93300,92912,53.81,5000,136.08
2020,Durham,49100,48800,45.7,2230,60.69
2020,Haliburton,0,0,0,0,0
2020,Hastings,24400,24200,43.8,1060,28.85
2020,Kawartha Lakes,23700,23500,42.98,1010,27.49
2020,Muskoka,0,0,0,0,0
2020,Northumberland,49100,48800,42.42,2070,56.34
2020,Parry Sound,0,0,0,0,0
2020,Peterborough,18800,18700,40.11,750,20.41
2020,Prince Edward,16600,16500,33.94,560,15.24
2020,York,20000,19900,45.23,900,24.49
2020,Frontenac,12400,12280,45.85,563,15.32
2020,Lanark,11000,10890,52.16,568,15.46
2020,Leeds and Grenville,35500,35140,45.96,1615,43.95
2020,Lennox and Addington,19800,19600,44.49,872,23.73
2020,Ottawa,82700,81860,47.75,3909,106.38
2020,Prescott and Russell,86500,85620,47.33,4052,110.28
2020,Renfrew,25900,25640,46.68,1197,32.58
2020,"Stormont, Dundas and Glengarry",141300,139870,51.93,7264,197.69
2020,Algoma,0,0,0,0,0
2020,Cochrane,0,0,0,0,0
2020,Greater Sudbury,0,0,0,0,0
2020,Kenora,0,0,0,0,0
2020,Manitoulin,0,0,0,0,0
2020,Nipissing,3000,2980,30.2,90,2.45
2020,Rainy River,7000,6960,41.67,290,7.89
2020,Sudbury,0,0,0,0,0
2020,Thunder Bay,0,0,0,0,0
2020,Timiskaming,15000,14900,40.27,600,16.33
2021,Brant,69436.4,67186.54,53.26,3578.24,97.33
2021,Chatham-Kent,225072.98,223915.57,54.39,12179.39,331.28
2021,Elgin,112623.24,112180.3,53.92,6049.1,164.54
2021,Essex,239513.77,233727.01,56.43,13189.7,358.76
2021,Haldimand-Norfolk,115821.67,113473.2,49.96,5668.78,154.19
2021,Hamilton,15660.73,14645.66,56.09,821.55,22.35
2021,Lambton,191694.34,190335.16,52.48,9989.11,271.7
2021,Middlesex,254805.98,250862.21,55.11,13826.05,376.07
2021,Niagara,68877.5,68608.65,49.43,3391.05,92.24
2021,Oxford,94193.39,92065.71,55.85,5142.03,139.86
2021,Bruce,115216.94,114700.22,50.36,5776.28,157.11
2021,Dufferin,36204.62,36114.61,50.38,1819.53,49.49
2021,Grey,90197.99,89956.73,51.24,4609.58,125.38
2021,Halton,19697.7,19673.98,46.38,912.41,24.82
2021,Huron,178502.75,178100.28,54.9,9777.12,265.94
2021,Peel,21683.53,21494.32,47.9,1029.59,28
2021,Perth,98014.54,97886.36,57.12,5591.58,152.09
2021,Simcoe,92850.62,92706.12,50.76,4705.51,127.99
2021,Waterloo,57710.84,57187.9,54.05,3091.29,84.08
2021,Wellington,110320.47,108179.47,52.23,5650.12,153.68
2021,Durham,57603.77,57589.48,45.38,2613.51,71.09
2021,Haliburton,0,0,0,0,0
2021,Hastings,26649.07,26648.06,44.25,1179.19,32.07
2021,Kawartha Lakes,43783.58,43781.92,44.87,1964.61,53.44
2021,Muskoka,0,0,0,0,0
2021,Northumberland,47050.14,47037.52,43.64,2052.69,55.83
2021,Parry Sound,0,0,0,0,0
2021,Peterborough,22542.39,22536.69,44.35,999.54,27.19
2021,Prince Edward,19315.82,19312.67,42.89,828.29,22.53
2021,York,27355.25,27293.66,44.16,1205.17,32.78
2021,Frontenac,18299.37,18279.54,45.04,823.4,22.4
2021,Lanark,13503.51,13460.36,49.1,660.95,17.98
2021,Leeds and Grenville,44853.34,44765.11,47.68,2134.47,58.06
2021,Lennox and Addington,23752.43,23593.97,45.79,1080.26,29.38
2021,Ottawa,63393.49,63106.01,49.04,3094.43,84.17
2021,Prescott and Russell,103835.23,99315.1,46.78,4645.84,126.37
2021,Renfrew,41825.07,41592.77,45.02,1872.47,50.93
2021,"Stormont, Dundas and Glengarry",140937.55,140487.15,48.6,6828.19,185.73
2021,Algoma,522.51,520.94,36.83,19.18,0.52
2021,Cochrane,227.53,226.84,36.83,8.35,0.23
2021,Greater Sudbury,0,0,0,0,0
2021,Kenora,0,0,0,0,0
2021,Manitoulin,33.22,33.12,36.83,1.22,3.32
2021,Nipissing,2605.5,2597.65,36.83,95.67,2.6
2021,Rainy River,6279.18,6260.26,36.83,230.55,6.27
2021,Sudbury,419.82,418.56,36.83,15.41,0.42
2021,Thunder Bay,75.51,75.28,36.83,2.77,7.54
2021,Timiskaming,23036.73,22967.35,36.83,845.84,23.01
2022,Brant,48987.71,48856.08,42.27,2064.99,56.2
2022,Chatham-Kent,290997.23,290215.29,51.49,14942.15,406.66
2022,Elgin,129457.6,129109.74,57.43,7414.49,201.79
2022,Essex,246265.56,245603.83,51.35,12612.23,343.25
2022,Haldimand-Norfolk,0,0,0,0,0
2022,Hamilton,37259.81,37159.69,39.58,1470.82,40.03
2022,Lambton,337042.72,336137.06,45.54,15306.63,416.57
2022,Middlesex,205301.28,204749.62,51.61,10567.99,287.61
2022,Niagara,118604.6,118285.9,45.81,5418.15,147.46
2022,Oxford,74683.48,74482.79,52.35,3899.54,106.13
2022,Bruce,120960.05,119395.42,50.5,6029.12,164.08
2022,Dufferin,34478.59,34032.61,44.92,1528.82,41.61
2022,Grey,52724.92,52042.92,47.09,2450.78,66.7
2022,Halton,27510.52,27154.67,25.03,679.72,18.5
2022,Huron,230314.02,227334.89,52.8,12002.91,326.66
2022,Peel,30474.05,30079.87,33.94,1021.04,27.79
2022,Perth,120354.64,118797.84,51.28,6091.68,165.79
2022,Simcoe,113027.75,111565.73,43.63,4867.78,132.48
2022,Waterloo,23200.33,22900.23,42.97,983.92,26.78
2022,Wellington,97355.13,96095.83,48.4,4651.23,126.58
2022,Durham,53469.75,52196.66,46.3,2416.9,65.78
2022,Haliburton,0,0,0,0,0
2022,Hastings,34441.1,33621.08,38.33,1288.61,35.07
2022,Kawartha Lakes,45393.42,44312.62,44.3,1962.95,53.42
2022,Muskoka,0,0,0,0,0
2022,Northumberland,40125.5,39170.13,41.95,1643.14,44.72
2022,Parry Sound,0,0,0,0,0
2022,Peterborough,26877.1,26237.17,41.31,1083.94,29.5
2022,Prince Edward,27559.17,26903,36.92,993.23,27.03
2022,York,28333.96,27659.34,47.55,1315.23,35.79
2022,Frontenac,18035.7,18019.85,29.99,540.49,14.71
2022,Lanark,15747.26,15733.43,46.07,724.84,19.73
2022,Leeds and Grenville,32590.48,32561.85,43.75,1424.42,38.77
2022,Lennox and Addington,23729.3,23708.46,35.31,837.05,22.78
2022,Ottawa,73519.41,73454.82,54.83,4027.38,109.61
2022,Prescott and Russell,116555.6,116453.2,41.98,4888.47,133.04
2022,Renfrew,31696.49,31668.65,39.95,1265.27,34.43
2022,"Stormont, Dundas and Glengarry",143425.74,143299.74,51.17,7333.08,199.57
2022,Algoma,1746.35,1646.73,30.73,50.6,1.38
2022,Cochrane,56.58,53.36,0,1.64,4.45
2022,Greater Sudbury,664.59,626.68,0,21.65,0.59
2022,Kenora,0,0,0,0,0
2022,Manitoulin,26.63,25.11,30.28,0.76,2.07
2022,Nipissing,2286.67,2156.23,48.8,105.22,2.86
2022,Rainy River,3063.32,2888.57,52.97,153,4.16
2022,Sudbury,0,0,0,0,0
2022,Thunder Bay,0,0,0,0,0
2022,Timiskaming,21955.85,20703.34,36.09,747.13,20.33
2023,Brant,42481.49,42072.17,48.96,2059.99,41.84
2023,Chatham-Kent,264419,261871.26,54.01,14144.86,287.28
2023,Elgin,208710.57,206699.6,52.69,10891,221.2
2023,Essex,118698.37,117554.68,48.69,5724.03,116.25
2023,Haldimand-Norfolk,170426.74,168784.64,45.53,7684.07,156.06
2023,Hamilton,30275.35,29983.64,47.69,1429.87,29.04
2023,Lambton,271582.88,268966.12,45.39,12208.82,247.96
2023,Middlesex,183351.91,181585.28,47.47,8620.68,175.09
2023,Niagara,94823.25,93909.61,43.02,4040.14,82.06
2023,Oxford,73826.56,73115.22,53.22,3890.98,79.03
2023,Bruce,119287.22,118811.4,53.3,6332.54,128.61
2023,Dufferin,30503.01,30381.34,49.3,1497.86,30.42
2023,Grey,53054.6,52842.97,49.3,2604.96,52.91
2023,Halton,25521.16,25419.36,47.6,1209.91,24.57
2023,Huron,232166.56,231240.48,54,12486.72,339.83
2023,Peel,29675.68,29557.31,48.63,1437.46,39.12
2023,Perth,114663.89,114206.51,55.25,6309.39,171.71
2023,Simcoe,107355.25,106927.03,49.22,5263.15,143.24
2023,Waterloo,24303.47,24206.52,56.41,1365.49,37.16
2023,Wellington,92534.18,92165.08,52.15,4806.72,130.82
2023,Durham,60562.97,59739.7,48.66,2907.07,79.12
2023,Haliburton,0,0,0,0,0
2023,Hastings,31440.44,31013.05,46.38,1438.35,39.15
2023,Kawartha Lakes,41761.67,41193.98,45.12,1858.56,50.58
2023,Muskoka,0,0,0,0,0
2023,Northumberland,39766.83,39226.25,45.62,1789.67,48.71
2023,Parry Sound,0,0,0,0,0
2023,Peterborough,29146.41,28750.21,45.16,1298.41,35.34
2023,Prince Edward,25333.92,24989.55,52.84,1320.51,35.94
2023,York,25397.94,25052.69,45.97,1151.59,31.34
2023,Frontenac,15524.05,15295.24,47.06,719.79,19.59
2023,Lanark,14598.92,14383.74,51.94,747.13,20.33
2023,Leeds and Grenville,30628.03,30176.6,47.55,1434.88,39.05
2023,Lennox and Addington,19845.9,19553.39,48.37,945.86,25.74
2023,Ottawa,69138.13,68119.1,52.55,3579.77,97.42
2023,Prescott and Russell,110833.13,109199.55,48.35,5279.36,143.68
2023,Renfrew,29568.37,29132.56,42.72,1244.65,33.87
2023,"Stormont, Dundas and Glengarry",131323.43,129387.84,54.85,7097.17,193.15
2023,Algoma,1859.42,1729.28,52.91,91.49,2.49
2023,Cochrane,0,0,0,0,0
2023,Greater Sudbury,0,0,0,0,0
2023,Kenora,0,0,0,0,0
2023,Manitoulin,169.4,157.55,20.68,3.26,8.87
2023,Nipissing,3199.24,2975.32,55.5,165.13,4.49
2023,Rainy River,7269.09,6760.33,53.72,363.2,9.88
2023,Sudbury,1123.12,1044.52,39.9,41.68,1.13
2023,Thunder Bay,0,0,0,0,0
2023,Timiskaming,25476.44,23693.35,35.74,846.79,23.05
2024,Brant,39648.32,39226.33,49.69,1948.98,39.58
2024,Chatham-Kent,267158.39,264314.92,59.07,15613.44,317.11
2024,Elgin,122893.58,121585.57,53.93,6557.09,133.17
2024,Essex,212412.72,210151.92,57.45,12072.82,245.2
2024,Haldimand-Norfolk,163190.59,161453.69,52.82,8528.44,173.21
2024,Hamilton,30003,29683.67,47.33,1405.07,28.54
2024,Lambton,289236.63,286158.17,46.35,13264.63,269.4
2024,Middlesex,179443.45,177533.56,50.97,9048.86,183.78
2024,Niagara,88820.66,87875.3,49.2,4323.04,87.8
2024,Oxford,63492.66,62816.88,55.08,3460.11,70.27
2024,Bruce,143827.6,142056.4,51.06,7253.69,147.32
2024,Dufferin,35050.89,34619.24,47.27,1636.36,33.23
2024,Grey,59521.53,58788.54,49.27,2896.76,58.83
2024,Halton,26827.18,26496.81,42.05,1114.12,22.63
2024,Huron,249611.52,246537.62,54.35,13400.27,364.69
2024,Peel,31874.63,31482.1,48.67,1532.16,41.7
2024,Perth,118568.92,117108.78,55.75,6528.38,177.67
2024,Simcoe,124983.58,123444.44,47.78,5898.17,160.52
2024,Waterloo,23692.87,23401.1,54.01,1264,34.4
2024,Wellington,103641.28,102364.97,51.59,5280.99,143.72
2024,Durham,57582.43,57312.51,46.73,2678.13,72.89
2024,Haliburton,0,0,0,0,0
2024,Hastings,31920,31770.38,46.26,1469.74,40
2024,Kawartha Lakes,47845.16,47620.89,45.37,2160.69,58.8
2024,Muskoka,0,0,0,0,0
2024,Northumberland,37090.67,36916.81,48.02,1772.82,48.25
2024,Parry Sound,0,0,0,0,0
2024,Peterborough,30663.4,30519.67,44.6,1361.21,37.05
2024,Prince Edward,24476.2,24361.46,47.04,1146,31.19
2024,York,26422.13,26298.28,43.57,1145.85,31.18
2024,Frontenac,17435.07,17309.37,44.33,767.32,20.88
2024,Lanark,15967.69,15852.56,53.93,854.89,23.27
2024,Leeds and Grenville,35076.15,34823.25,49.57,1726.15,46.98
2024,Lennox and Addington,24917.43,24737.78,48.14,1190.92,32.41
2024,Ottawa,74761.26,74222.23,55.73,4136.3,112.57
2024,Prescott and Russell,118271.19,117418.45,45.24,5311.92,144.57
2024,Renfrew,32017.65,31786.81,56.97,1810.91,49.28
2024,"Stormont, Dundas and Glengarry",139253.56,138249.55,58.17,8042.29,218.87
2024,Algoma,960.43,957.32,48.24,46.18,1.26
2024,Cochrane,55.49,55.31,37.39,2.07,5.63
2024,Greater Sudbury,0,0,0,0,0
2024,Kenora,0,0,0,0,0
2024,Manitoulin,333.43,332.35,40.64,13.51,0.37
2024,Nipissing,2793.51,2784.47,54.66,152.19,4.14
2024,Rainy River,5971.89,5952.57,40.93,243.66,6.63
2024,Sudbury,1221.72,1217.76,35.38,43.08,1.17
2024,Thunder Bay,141.24,140.78,22.06,3.1,8.45
2024,Timiskaming,19422.3,19359.45,41.61,805.47,21.92
