x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.4.30,2013-04-30 00:00:00,ON,2013,4,30,12.4,,8.1,,16.6,,0.3,,,M,,M,,,0,,0,,0,,5.6,,72,,96,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.1,2013-05-01 00:00:00,ON,2013,5,1,14.1,,8.8,,19.4,,0,,,M,,M,,,0,,0,,0,,3.9,,60,,90,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.2,2013-05-02 00:00:00,ON,2013,5,2,12.3,,6.4,,18.2,,0.3,,,M,,M,,,0,,0,,0,,5.7,,37,,86,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.3,2013-05-03 00:00:00,ON,2013,5,3,11.6,,5.3,,17.9,,0,,,M,,M,,,7,,32,,0,,6.4,,43,,91,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.4,2013-05-04 00:00:00,ON,2013,5,4,11.9,,6.3,,17.5,,0,,,M,,M,,,0,,0,,0,,6.1,,40,,89,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.5,2013-05-05 00:00:00,ON,2013,5,5,14.1,,5.5,,22.6,,0.3,,,M,,M,,,0,,0,,0,,3.9,,33,,90,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.6,2013-05-06 00:00:00,ON,2013,5,6,12.9,,5.2,,20.6,,0,,,M,,M,,,0,,0,,0,,5.1,,,,,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.7,2013-05-07 00:00:00,ON,2013,5,7,14.4,,6.5,,22.3,,0,,,M,,M,,,0,,0,,0,,3.6,,31,,81,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.8,2013-05-08 00:00:00,ON,2013,5,8,14,,9.5,,18.5,,0,,,M,,M,,,0,,0,,0,,4,,56,,94,
-79.90833333333333,43.291666666666664,HAMILTON RBG CS,6153301,6153301.2013.5.9,2013-05-09 00:00:00,ON,2013,5,9,18.9,,11.1,,26.6,,0.2,,,M,,M,,,0,,0,,0.9,,0,,24,,96,
